Phase,artefact,total_count
chi,Agate_bead,0
chi,Bell,0
chi,Big_Metal_ring,0
chi,Glass_bead,0
chi,Glass_earring,0
chi,Golden_bead,1
chi,IndoPacific_bead,0
chi,Knit,0
chi,Metal_piece,0
chi,Metal_ring,0
chi,Metal_string,0
chi,Small_Metal_ring,0
chi,Wide_Metal_ring,0
chi,fish_shape_knit,0
disturbed,Agate_bead,0
disturbed,Bell,0
disturbed,Big_Metal_ring,2
disturbed,Glass_bead,0
disturbed,Glass_earring,0
disturbed,Golden_bead,0
disturbed,IndoPacific_bead,2
disturbed,Knit,0
disturbed,Metal_piece,0
disturbed,Metal_ring,0
disturbed,Metal_string,2
disturbed,Small_Metal_ring,0
disturbed,Wide_Metal_ring,0
disturbed,fish_shape_knit,0
euro,Agate_bead,81
euro,Bell,7
euro,Big_Metal_ring,53
euro,Glass_bead,2
euro,Glass_earring,0
euro,Golden_bead,59
euro,IndoPacific_bead,3573
euro,Knit,0
euro,Metal_piece,2
euro,Metal_ring,7
euro,Metal_string,10
euro,Small_Metal_ring,64
euro,Wide_Metal_ring,0
euro,fish_shape_knit,2
post,Agate_bead,0
post,Bell,0
post,Big_Metal_ring,7
post,Glass_bead,0
post,Glass_earring,0
post,Golden_bead,9
post,IndoPacific_bead,1526
post,Knit,0
post,Metal_piece,0
post,Metal_ring,3
post,Metal_string,1
post,Small_Metal_ring,2
post,Wide_Metal_ring,2
post,fish_shape_knit,0
pre,Agate_bead,47
pre,Bell,0
pre,Big_Metal_ring,39
pre,Glass_bead,1
pre,Glass_earring,0
pre,Golden_bead,88
pre,IndoPacific_bead,1166
pre,Knit,0
pre,Metal_piece,0
pre,Metal_ring,1
pre,Metal_string,2
pre,Small_Metal_ring,36
pre,Wide_Metal_ring,5
pre,fish_shape_knit,0
NA,Agate_bead,30
NA,Bell,3
NA,Big_Metal_ring,0
NA,Glass_bead,0
NA,Glass_earring,2
NA,Golden_bead,0
NA,IndoPacific_bead,10
NA,Knit,0
NA,Metal_piece,0
NA,Metal_ring,0
NA,Metal_string,1
NA,Small_Metal_ring,0
NA,Wide_Metal_ring,0
NA,fish_shape_knit,0
